Step,Instruction
61,Check peerDependencies for prisma and other pinned ranges for stability.
62,Re-run generation twice; diff gen/ to verify deterministic outputs.
63,"Note any non-determinism in TECHNOTES.md and identify sources (timestamps, ordering, hashes)."
64,Document external consumption: install gen + templates; add generator block; run prisma generate.
65,Draft a CI plan: run generation and compare schemaHash in build.json before building/publishing.
66,"Outline a GitHub Action that builds, generates, and runs a manifest/path audit step."
67,Add CONTRIBUTING note: never edit files in /gen; use extension hooks when available.
68,Verify license headers or repository license exist where required.
69,"Confirm monorepo installs, builds, and emits dist bundles for all packages without TS errors."
70,Confirm generator CLI writes /gen with per-model folders and alias-based imports.
71,Confirm openapi.json includes a path for each model passed via --models (POC).
72,Confirm barrels exist at layer and model levels; importing from @gen/contracts/user works.
73,Confirm tsconfig.paths.json maps @gen/* to gen/* (or document manual step).
74,Confirm manifest exists and lists outputs; pathMap entries resolve to files.
75,Confirm consumer TS file compiles with imports from @gen/...
76,Confirm no deep relative imports in /gen; alias-only imports verified.
77,"Confirm README and TECHNOTES state goals, milestones, limitations."
78,Confirm version 0.4.0 recorded for this change set.
79,"Propose real Prisma DMMF ingestion (getDMMF) and schema comment-tag parsing (@route, @auth, @expose, @readonly, @example)."
80,Propose integrating a template engine (Handlebars/EJS) with partials and helpers; move logic from templates to helpers.
81,Design an auth policy compiler to reduce RBAC/ABAC to Prisma where filters and field masks; compile once per model.
82,"Implement projection presets (list/read/detail) and align DTOs, services, and OpenAPI responses."
83,"Implement filter/sort allowlists based on indexes, type-aware operators, and safe order-by sets."
84,"Ensure Zod parity with DTOs (optional vs nullable semantics, PATCH shape, error messages with path)."
85,"Complete OpenAPI (components/schemas for all DTOs, security schemes, examples, RFC7807 error model)."
86,Generate a typed client SDK from OpenAPI and optional React Query hooks; support ETag/idempotency keys.
87,"Create schema-lint rules: naming, tag validation, exposure safety, index coverage, deprecation markers."
88,"Add performance features: hash-based skip writes, batched FS ops, parallel per-model generation, unchanged-layer short-circuit."
